experiment,phase,stage_name,n_seeds,measurement_bitflip_prob,corr_f_hz,corr_g,regime_a,regime_b,improve_ler_mean,improve_ler_std,learned_success_mean,learned_success_std
expr1,phaseA_quick,expr1a_ratio_1to4_scale_05,5,0.0,0.0,0.0,0.5,2.0,0.10452380952380973,0.20627678826926957,0.8677083333333334,0.023199018178458437
expr1,phaseA_quick,expr1a_ratio_1to4_scale_10,5,0.0,0.0,0.0,1.0,4.0,-0.025222110933651065,0.10002404607481366,0.6989583333333333,0.056327107644149076
expr1,phaseA_quick,expr1a_ratio_1to4_scale_15,5,0.0,0.0,0.0,1.5,6.0,-0.10967346835064422,0.17879980274332274,0.5635416666666666,0.04119524986101084
expr1,phaseA_quick,expr1a_ratio_4to1_scale_05,5,0.0,0.0,0.0,2.0,0.5,0.14833333333333437,0.31991318266749025,0.965625,0.014206439267693575
expr1,phaseA_quick,expr1a_ratio_4to1_scale_10,5,0.0,0.0,0.0,4.0,1.0,0.05989974937343388,0.3259209388626029,0.9260416666666668,0.027043239553639936
expr1,phaseA_quick,expr1a_ratio_4to1_scale_15,5,0.0,0.0,0.0,6.0,1.5,0.03000729622680843,0.2813370430554403,0.85,0.011599509089229259
expr2,phaseA_quick,expr2a_composite_f1e2_g04,5,0.0,100.0,0.4,0.0,0.0,-0.035930735930735924,0.24136068492819246,0.928125,0.019232083789204955
expr2,phaseA_quick,expr2a_composite_f1e2_g10,5,0.0,100.0,1.0,0.0,0.0,0.19292929292929292,0.16836902251324956,0.93828125,0.012693810007243688
expr2,phaseA_quick,expr2a_composite_f1e2_g16,5,0.0,100.0,1.6,0.0,0.0,0.09411968656819916,0.2738211122981039,0.9328125,0.013621559198564604
expr2,phaseA_quick,expr2a_composite_f1e3_g04,5,0.0,1000.0,0.4,0.0,0.0,0.2932554112554112,0.24084656139219168,0.94921875,0.013755325673171101
expr2,phaseA_quick,expr2a_composite_f1e3_g10,5,0.0,1000.0,1.0,0.0,0.0,0.13874988705159483,0.2747091769237766,0.92578125,0.023567348639059932
expr2,phaseA_quick,expr2a_composite_f1e3_g16,5,0.0,1000.0,1.6,0.0,0.0,0.17969771241830063,0.3408561060842147,0.9328125,0.025363567313668633
expr2,phaseA_quick,expr2a_composite_f1e4_g04,5,0.0,10000.0,0.4,0.0,0.0,0.16642857142857143,0.19254000968317775,0.93203125,0.01410583600411546
expr2,phaseA_quick,expr2a_composite_f1e4_g10,5,0.0,10000.0,1.0,0.0,0.0,-0.053205128205128197,0.37610018319259253,0.93203125,0.02046218883391999
expr2,phaseA_quick,expr2a_composite_f1e4_g16,5,0.0,10000.0,1.6,0.0,0.0,0.05378787878787876,0.41433507420807164,0.9328125,0.01664630918176759
expr2,phaseB_focused,expr2b_focus_f1e2_g10,10,0.0,100.0,1.0,0.0,0.0,0.3227331739370459,0.09441370324624401,0.920947265625,0.008539898076755773
