Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.978516 | 0.968750 | 0.969076
      10 | 0.966797 | 0.939128 | 0.944661
      15 | 0.942057 | 0.916992 | 0.924479
      20 | 0.933594 | 0.886393 | 0.897786
      25 | 0.909831 | 0.870117 | 0.887370
      30 | 0.902344 | 0.850911 | 0.863281
      35 | 0.875651 | 0.833659 | 0.825846
      40 | 0.864583 | 0.808594 | 0.808919
      45 | 0.844727 | 0.793294 | 0.786458
      50 | 0.810547 | 0.763346 | 0.768880
