Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.961589 | 0.958008 | 0.961914
      10 | 0.942708 | 0.921224 | 0.929036
      15 | 0.919271 | 0.896810 | 0.890951
      20 | 0.898438 | 0.865234 | 0.860677
      25 | 0.879557 | 0.856445 | 0.843750
      30 | 0.862305 | 0.817057 | 0.821940
      35 | 0.823568 | 0.794596 | 0.787760
      40 | 0.832357 | 0.768555 | 0.757487
      45 | 0.802409 | 0.752930 | 0.727865
      50 | 0.766276 | 0.728516 | 0.722005
