Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.979492 | 0.973958 | 0.975586
      10 | 0.970052 | 0.944010 | 0.943685
      15 | 0.944987 | 0.923177 | 0.922526
      20 | 0.934245 | 0.892904 | 0.894531
      25 | 0.918620 | 0.867188 | 0.876302
      30 | 0.887370 | 0.849284 | 0.857422
      35 | 0.882487 | 0.813802 | 0.827474
      40 | 0.870443 | 0.797201 | 0.803060
      45 | 0.845378 | 0.765299 | 0.781901
      50 | 0.828125 | 0.738281 | 0.773438
